ISSUE #,OWN,GRADE,PRICE,OPG VALUE,OPG 2014,OPG 2015,OPG 2016,OPG 2017,SELLER,COMMENTS,,
,,,,,,,,,,,,
1,X,9, $27.00 , $37.00 , $37.00 , $37.00 , $37.00 ,,metropolis,,,
2,X,9, $11.50 , $19.00 , $19.00 , $19.00 , $19.00 ,,metropolis,,,
3,X,9.2, $13.00 , $24.00 , $24.00 , $24.00 , $24.00 ,,metropolis,,,
4,X,9.4, $16.00 , $24.00 , $24.00 , $24.00 , $24.00 ,,metropolis,,,
5,X,9.2, $13.00 , $24.00 , $24.00 , $24.00 , $24.00 ,,metropolis,,,
6,X,9.2, $11.00 , $16.00 , $16.00 , $16.00 , $16.00 ,,metropolis,,,
7,X,9.4, $12.00 , $16.00 , $16.00 , $16.00 , $16.00 ,,metropolis,,,
8,X,9.1, $10.00 , $13.00 , $13.00 , $13.00 , $13.00 ,,metropolis,,,
9,X,9.4, $12.00 , $16.00 , $16.00 , $16.00 , $16.00 ,,metropolis,,,
10,X,9.4, $12.00 , $16.00 , $16.00 , $16.00 , $16.00 ,,metropolis,,,
11,X,9.4, $9.00 , $12.00 , $12.00 , $12.00 , $12.00 ,,metropolis,,,
12,X,9.2, $8.00 , $12.00 , $12.00 , $12.00 , $12.00 ,,metropolis,,,
13,X,9, $6.00 , $10.00 , $10.00 , $10.00 , $10.00 ,,metropolis,,,
14,X,9, $6.00 , $10.00 , $10.00 , $10.00 , $10.00 ,,metropolis,,,
15,X,9.4, $9.00 , $12.00 , $12.00 , $12.00 , $12.00 ,,metropolis,,,
16,X,9, $6.00 , $10.00 , $10.00 , $10.00 , $10.00 ,,metropolis,,,
17,X,9.2, $8.00 , $12.00 , $12.00 , $12.00 , $12.00 ,,metropolis,,,
19,X,9.4, $9.00 , $12.00 , $12.00 , $12.00 , $12.00 ,,metropolis,,,
,,,,,,,,,,,,
6,X,F, $5.00 , $5.00 , $5.00 , $5.00 , $5.00 ,,milehigh,GOLDKEY SPOTLIGHT,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,, $203.50 , $300.00 , $300.00 , $300.00 , $300.00 ,,,,,
